"Артикул";"Ozon Product ID";"FBO OZON SKU ID";"FBS OZON SKU ID";"Barcode";"Наименование товара";"Бренд";"Статус товара";"Видимость FBO";"Причины скрытия FBO (при наличии)";"Видимость FBS";"Причины скрытия FBS (при наличии)";"Дата создания";"Коммерческая категория";"Объем товара, л";"Объемный вес, кг";"Доступно на складе Ozon, шт";"Зарезервировано, шт";"Доступно на моих складах, шт";"Зарезервировано на моих складах, шт";"Текущая цена с учетом скидки, руб.";"Цена до скидки (перечеркнутая цена), руб.";"Цена Premium, руб.";"Рыночная цена, руб.";"Актуальная ссылка на рыночную цену";"Размер НДС, %"
"PL-00006069";"139916588";"349187666";"349187679";;"Dr.Kirov Cosmetic Крем ""Многофакторный восстановитель кожи"", 60 мл";"Dr. Kirov Cosmetic Company";"Продается";"Показывается";;"Показывается";;"2021-10-13 05:56:52";"Средство увлажняющее для лица";"'0.70";"'0.1";"0";"0";"4";"0";"1026.00";;;"456.00";"https://apteka.ru/product/5e326c1365b5ab0001653194";"0%"
"PL-00006070";"139916911";"349188037";"349188057";;"Dr. Kirov, Крем-гель для век Многофакторный регенератор, 15 мл";"Dr. Kirov Cosmetic Company";"Продается";"Показывается";;"Показывается";;"2021-10-13 05:58:50";"Средство увлажняющее для глаз";"'2.16";"'0.4";"0";"0";"6";"0";"690.00";;;;;"0%"
"PT-00008755";"139917371";"349188731";"349188759";;"Dr. Kirov Cosmetic Company, Гель гиалуроновый ""Система Гиалуроновых Кислот 2200 кДа - 0.8 кДа с витаминами Е, С, РР, В5 и В6"", от морщин, от сухости,  для увлажнения, лифтинга, питания, восстановления, натуральный anti-age, без консервантов, 30 мл";"Dr. Kirov Cosmetic Company";"Продается";"Показывается";;"Показывается";;"2021-10-13 06:01:25";"Средство увлажняющее для лица";"'0.32";"'0.1";"0";"0";"5";"0";"1800.00";;;;;"0%"
"PT-00008756";"139917807";"349189830";"349189850";;"Dr. Kirov Cosmetic Company, Гиалуроновый гель ""Система Гиалуроновых Кислот 2200 кДа - 0,8 кДа с пептидом Juveleven"" натуральный anti-age от морщин, для увлажнения, лифтинга, омоложения, восстановления, 30 мл";"Dr. Kirov Cosmetic Company";"Продается";"Показывается";;"Показывается";;"2021-10-13 06:03:00";"Средство увлажняющее для лица";"'0.32";"'0.1";"0";"0";"6";"0";"1800.00";;;"785.00";"https://apteka.ru/product/5e3275a7f5a9ae000140e7d5";"0%"
"PL-00006072";"139918141";"349192457";"349192469";;"Dr. Kirov Cosmetic Company, Гель гиалуроновый ""Система Гиалуроновых Кислот 2200 кДа-0.8 кДа"", 15 мл";"Dr. Kirov Cosmetic Company";"Продается";"Показывается";;"Показывается";;"2021-10-13 06:04:33";"Средство увлажняющее для лица";"'0.27";"'0.1";"0";"0";"7";"0";"795.00";;;;;"0%"
"PT-00008802";"139918363";"349194935";"349194975";;"Dr. Kirov Cosmetic Company, Маска-крем ""Система Гиалуроновых Кислот и Витаминов"", от морщин,  для питания, восстановления, увлажнения, лифтинга, натуральный anti-age, без консервантов, 60 мл";"Dr. Kirov Cosmetic Company";"Продается";"Показывается";;"Показывается";;"2021-10-13 06:06:59";"Маска для лица косметическая";"'0.62";"'0.1";"0";"0";"6";"0";"1170.00";;;;;"0%"
"PL-00006073";"139919135";"349196835";"349196836";;"Dr. Kirov, Гель для умывания Следоцид-сахарное очищение, 60 мл";"Dr. Kirov Cosmetic Company";"Продается";"Показывается";;"Показывается";;"2021-10-13 06:08:39";"Средство для умывания";"'12.00";"'2.4";"0";"0";"4";"0";"660.00";;;;;"0%"
"PL-00006071";"139920325";"349199162";"349199170";;"Dr.Kirov Cosmetic Крем-гель ""Следоцид тональный антикомедогенный ВВ"", 15 мл";"Dr. Kirov Cosmetic Company";"Готов к продаже";"Показывается";;"Показывается";;"2021-10-13 06:10:06";"Средство увлажняющее для лица";"'0.24";"'0.1";"0";"0";"0";"0";"417.00";;;;;"0%"
"123123123";"141510470";"352217015";"352217014";;"LUXVISAGE Тушь для ресниц XXL Суперобъем-Эффект накладных ресниц";"LUXVISAGE";"Не продается";"Скрыт";"Отсутствие документов на бренд";"Скрыт";"Отсутствие документов на бренд";"2021-10-15 05:13:17";"Тушь для ресниц";"'0.24";"'0.1";"0";"0";"0";"0";"350.00";;;"258.00";"https://wildberries.ru/catalog/11131421/detail.aspx";"0%"
"GLB00002210";"141511273";"352226023";"352226024";;"Белита  Мезопилинг-скатка для лица ""Глубокое очищение"" ";;"Не продается";"Скрыт";"Отсутствие документов на бренд
Название бренда искажено, внесите исправления";"Скрыт";"Отсутствие документов на бренд
Название бренда искажено, внесите исправления";"2021-10-15 05:26:25";"Пилинг для лица";"'0.00";"'0.1";"0";"0";"19";"0";"437.00";;;;;"0%"
"PLL00000578";"141511509";"352226990";"352226991";;"Белита Основа - праймер под макияж Amore";"Белита";"Не продается";"Скрыт";"Не подтверждены права на реализацию бренда";"Скрыт";"Не подтверждены права на реализацию бренда";"2021-10-15 05:28:12";"Основа под макияж";"'0.25";"'0.1";"0";"0";"20";"0";"417.00";;;"230.00";"https://wildberries.ru/catalog/50885782/detail.aspx";"0%"
"KR-000094251";"143666797";"356066646";"356066645";;"КОСМЕТОЛОГиЯ САШЕ ВИТАМИННАЯ BEAUTY-МАСКА для лица с экстрактом киви, 2*7мл (3шт)";"Витэкс";"Готов к продаже";"Показывается";;"Показывается";;"2021-10-19 06:56:09";"Маска для лица косметическая";"'1.01";"'0.2";"0";"0";"0";"0";"200.00";;;;;"0%"
"PL-00008993";"145667015";"359284934";"359284935";;"Liga Lux Pink Molecoola 9Z6 туалетная вода женская 17мл";"Neo Parfum";"Готов к продаже";"Показывается";;"Показывается";;"2021-10-21 19:12:23";"Туалетная вода женская";"'0.11";"'0.0";"0";"0";"0";"0";"243.00";;;;;"0%"
"PL-00008985";"145675611";"359304912";"359304911";;"Liga Lux Angel & Devil Secret Parfum туалетная вода женcкая 17мл";"Neo Parfum";"Продается";"Показывается";;"Показывается";;"2021-10-21 19:28:18";"Туалетная вода женская";"'0.11";"'0.0";"0";"0";"26";"0";"243.00";;;;;"0%"
"PL-00008986";"145690842";"359336788";"359336789";;"Liga Lux Carlos Barrera VIP";"Neo Parfum";"Продается";"Показывается";;"Показывается";;"2021-10-21 20:12:51";"Туалетная вода женская";"'0.11";"'0.0";"0";"0";"22";"0";"243.00";;;;;"0%"
"PL-00008989";"145692952";"359344401";"359344402";;"Liga Lux La Corrida";"Neo Parfum";"Продается";"Показывается";;"Показывается";;"2021-10-21 20:29:25";"Туалетная вода женская";"'0.11";"'0.0";"0";"0";"30";"0";"243.00";;;;;"0%"
"PL-00008994";"145696022";"359349092";"359349093";;"Liga Lux S.Cadus Sexy";"Neo Parfum";"Продается";"Показывается";;"Показывается";;"2021-10-21 20:46:40";"Туалетная вода женская";"'0.11";"'0.0";"0";"0";"17";"0";"243.00";;;;;"0%"
"PT-00009183";"145697278";"359354385";"359354384";;"Liga Lux Clair de Lune";"Neo Parfum";"Продается";"Показывается";;"Показывается";;"2021-10-21 20:52:22";"Туалетная вода женская";"'0.11";"'0.1";"0";"0";"16";"0";"421.00";;;;;"0%"
"PT-00009184";"145698134";"359353838";"359353839";;"Liga Lux Eclair d'France";"Neo Parfum";"Продается";"Показывается";;"Показывается";;"2021-10-21 20:56:24";"Туалетная вода женская";"'0.11";"'0.1";"0";"0";"14";"0";"421.00";;;;;"0%"
"PT-00009185";"145698586";"359355357";"359355358";;"""Liga Lux"" Imperatrice женская 36 мл";"Neo Parfum";"Продается";"Показывается";;"Показывается";;"2021-10-21 21:00:41";"Туалетная вода женская";"'0.11";"'0.1";"0";"0";"8";"0";"421.00";;;;;"0%"
"PT-00009186";"145699337";"359357456";"359357457";;"Liga Lux La Corrida женские 36 мл";"Neo Parfum";"Готов к продаже";"Показывается";;"Показывается";;"2021-10-21 21:05:16";"Туалетная вода женская";"'0.11";"'0.1";"0";"0";"0";"0";"421.00";;;;;"0%"
"PT-00009187";"145875220";"359603265";"359603264";;"Nisha Lux Baccara Crystal";"Kaif Parfum";"Продается";"Показывается";;"Показывается";;"2021-10-22 05:26:39";"Туалетная вода женская";"'0.11";"'0.0";"0";"0";"13";"0";"515.00";;;;;"0%"
"PT-00009188";"145875518";"359603967";"359603966";;"Nisha Lux Bal by Red женские 17мл";"Kaif Parfum";"Продается";"Показывается";;"Показывается";;"2021-10-22 05:29:18";"Туалетная вода женская";"'0.11";"'0.0";"0";"0";"12";"0";"515.00";;;;;"0%"
"PT-00009189";"145876010";"359605682";"359605683";;"Nisha Lux Caffeine женские 17мл";"Kaif Parfum";"Продается";"Показывается";;"Показывается";;"2021-10-22 05:34:41";"Туалетная вода женская";"'0.11";"'0.1";"0";"0";"27";"0";"515.00";;;;;"0%"
"PT-00009190";"145876898";"359609314";"359609315";;"Nisha Lux Kir Royal женские 17мл";"Kaif Parfum";"Продается";"Показывается";;"Показывается";;"2021-10-22 05:42:31";"Туалетная вода женская";"'0.11";"'0.0";"0";"0";"8";"0";"515.00";;;;;"0%"
"PT-00009191";"145878929";"359612207";"359612206";;"Nisha Lux N-R-C-O-T-Q женские 17мл";"Kaif Parfum";"Продается";"Показывается";;"Показывается";;"2021-10-22 05:47:09";"Туалетная вода женская";"'0.11";"'0.0";"0";"0";"99";"0";"515.00";;;;;"0%"
"PT-00009192";"145880579";"359614950";"359614951";;"Nisha Lux № 1 17мл";"Kaif Parfum";"Продается";"Показывается";;"Показывается";;"2021-10-22 05:51:03";"Туалетная вода женская";"'0.11";"'0.0";"0";"0";"44";"0";"515.00";;;;;"0%"
"PL-00009493";"156198597";"382112985";"382112986";;"BOGART m EDT 90 ml";"Jacques Bogart";"Продается";"Показывается";;"Показывается";;"2021-11-07 08:13:13";"Туалетная вода мужская";"'0.43";"'0.3";"0";"0";"3";"0";"3593.00";;;;;"0%"
"PL-00006617";"156199134";"377345937";"377345936";;"Bogart One Man Show Туалетная вода мужская с кремом 100 мл ";"BOGART";"Продается";"Показывается";;"Показывается";;"2021-11-07 08:22:06";"Туалетная вода мужская";"'0.73";"'0.3";"0";"0";"6";"0";"3085.00";;;;;"0%"
"PL-00006762";"159181643";"382746057";"382746058";;"E. ARDEN 5-TH AVENUE  w EDP 30 ml";"Arden";"Продается";"Показывается";;"Показывается";;"2021-11-11 07:58:47";"Парфюмерная вода женская";"'0.15";"'0.2";"0";"0";"4";"0";"3657.00";;;;;"0%"
"PL-00008819";"159189218";"382760954";"382760953";;"E. ARDEN 5-TH AVENUE w EDP 75 ml";"Arden";"Продается";"Показывается";;"Показывается";;"2021-11-11 08:05:58";"Парфюмерная вода женская";"'0.15";"'0.2";"0";"0";"5";"0";"4929.00";;;;;"0%"
"PL-00006763";"159654255";"383652693";"383652694";;"Elizabeth Arden Green Tea w EDP 50ml";"Arden";"Продается";"Показывается";;"Показывается";;"2021-11-11 20:25:16";"Парфюмерная вода женская";"'0.15";"'0.2";"0";"0";"3";"0";"2830.00";;;;;"0%"
"PL-00007616";"159659713";"383662861";"383662860";;"Elizabeth Arden Green Tea w EDT 100 ml";"Arden";"Продается";"Показывается";;"Показывается";;"2021-11-11 20:37:47";"Туалетная вода женская";"'0.18";"'0.3";"0";"0";"5";"0";"4070.00";;;;;"0%"
"PL-00006747";"159661704";"383671960";"383671959";;"Franck Olivier w EDP 25 ml";"Franck Olivier";"Не продается";"Скрыт";"Отсутствие документов на бренд";"Скрыт";"Отсутствие документов на бренд";"2021-11-11 20:48:57";"Парфюмерная вода женская";"'0.12";"'0.1";"0";"0";"7";"0";"2194.00";;;;;"0%"
"PL-00009500";"159662177";"383669193";"383669194";;"MOSCHINO Туалетная вода I Love Love";"Moschino";"Не продается";"Скрыт";"Отсутствие документов на бренд";"Скрыт";"Отсутствие документов на бренд";"2021-11-11 20:51:44";"Туалетная вода женская";"'1.00";"'0.2";"0";"0";"2";"0";"6996.00";;;"5535.00";"https://lamoda.ru/p/mo351dwbz572";"0%"
"PL-00006752";"159663838";"383672667";"383672668";;"Sergio Tacchini Donna w EDT 30 ml";"Sergio Tacchini Parfume";"Не продается";"Скрыт";"Отсутствие документов на бренд";"Скрыт";"Отсутствие документов на бренд";"2021-11-11 21:01:07";"Туалетная вода женская";"'0.12";"'0.1";"0";"0";"0";"0";"2480.00";;;;;"0%"
"PT-00009193";"164987555";"392998901";"392998902";;"Дезодорант Like ECLAIR женский 25мл";"Neo Parfum";"Продается";"Показывается";;"Показывается";;"2021-11-18 20:18:41";"Дезодорант";"'0.12";"'0.1";"0";"0";"35";"0";"288.00";;;;;"0%"
"PT-00009194";"164989714";"393002840";"393002841";;"Дезодорант Like ECLAT Homme мужской 25мл ";"Neo Parfum";"Продается";"Показывается";;"Показывается";;"2021-11-18 20:23:07";"Дезодорант";"'0.12";"'0.1";"0";"0";"37";"0";"288.00";;;;;"0%"
"PT-00009195";"164990984";"393006073";"393006074";;"Дезодорант Like IMPERATRICE №1 женский 25мл";"Neo Parfum";"Продается";"Показывается";;"Показывается";;"2021-11-18 20:29:20";"Дезодорант";"'0.12";"'0.1";"0";"0";"100";"0";"288.00";;;;;"0%"
"PT-00009196";"164991467";"393021075";"393021076";;"Дезодорант Like Motecule X100 женский 25мл ";"Neo Parfum";"Продается";"Показывается";;"Показывается";;"2021-11-18 20:36:35";"Дезодорант";"'0.12";"'0.1";"0";"0";"35";"0";"288.00";;;;;"0%"
"PT-00009197";"164993289";"393013883";"393013884";;"Дезодорант LikeParfum SEXY женский 25мл";"Neo Parfum";"Продается";"Показывается";;"Показывается";;"2021-11-18 20:41:25";"Дезодорант";"'0.12";"'0.1";"0";"0";"38";"0";"288.00";;;;;"0%"
"PT-00009330";"192293611";"437459600";"437459601";;"Liga Lux Ручка-ролл 2х2 17мл мужская";"Neo Parfum";"Продается";"Показывается";;"Показывается";;"2021-12-21 06:05:47";"Туалетная вода мужская";"'0.11";"'0.0";"0";"0";"20";"0";"246.00";;;;;"0%"
"PT-00009331";"192304717";"437715799";"437715804";;"Liga Lux Asti in Red";"Neo Parfum";"Продается";"Показывается";;"Показывается";;"2021-12-21 06:11:09";"Туалетная вода женская";"'0.11";"'0.0";"0";"0";"29";"0";"246.00";;;;;"0%"
"PT-00009332";"192317403";"437490708";"437490703";;"LigaLux Dolce";"Neo Parfum";"Продается";"Показывается";;"Показывается";;"2021-12-21 06:17:09";"Туалетная вода женская";"'0.11";"'0.0";"0";"0";"26";"0";"246.00";;;;;"0%"
"PT-00009333";"192325347";"437507524";"437507525";;"LigaLux Imperatrice №1";"Neo Parfum";"Продается";"Показывается";;"Показывается";;"2021-12-21 06:21:53";"Туалетная вода женская";"'0.11";"'0.0";"0";"0";"64";"0";"450.00";;;;;"0%"
"PT-00009334";"192344764";"437536077";"437536076";;"LigaLux Nina Classica";"Neo Parfum";"Продается";"Показывается";;"Показывается";;"2021-12-21 06:31:06";"Туалетная вода женская";"'0.11";"'0.0";"0";"0";"28";"0";"246.00";;;;;"0%"
"PT-00009335";"192349852";"437541586";"437541587";;"LigaLux Sent Bussi";"Neo Parfum";"Продается";"Показывается";;"Показывается";;"2021-12-21 06:36:34";"Туалетная вода женская";"'0.11";"'0.0";"0";"0";"29";"0";"246.00";;;;;"0%"
"PT-00009336";"192353172";"437546287";"437546288";;"LigaLux Sherry Air";"Neo Parfum";"Продается";"Показывается";;"Показывается";;"2021-12-21 06:40:19";"Туалетная вода женская";"'0.11";"'0.0";"0";"0";"37";"0";"246.00";;;;;"0%"
"PT-00009337";"192356368";"437570734";"437570735";;"LigaLux Vernice Eros";"Neo Parfum";"Продается";"Показывается";;"Показывается";;"2021-12-21 06:44:03";"Туалетная вода женская";"'0.11";"'0.0";"0";"0";"23";"0";"246.00";;;;;"0%"
"KR-00005171";"208429383";"464445048";"464445049";;"Набор косметики для ухода за кожей Chester Бурлящий шар для ванны, Личи и Нони, 120 г";"Chester";"Продается";"Показывается";;"Показывается";;"2022-01-11 15:14:53";"Набор косметики для ухода за телом женский";"'1.00";"'0.2";"0";"0";"2";"0";"152.00";;;;;"0%"
"AUT00001915";"208486807";"464534440";"464534441";;"LUXVISAGE Тушь для ресниц XXL Суперобъем-Эффект накладных ресниц";"LUXVISAGE";"Продается";"Показывается";;"Показывается";;"2022-01-11 17:15:14";"Тушь для ресниц";"'0.01";"'0.0";"0";"0";"55";"0";"462.00";;;"231.00";"https://wildberries.ru/catalog/11131419/detail.aspx";"0%"
"AUT00001915N3";"208489132";"464541154";"464541153";"OZN464541154";"LUXVISAGE Тушь для ресниц XXL Суперобъем, Разделение, Длина, набор 3 шт";"Нет бренда";"Готов к продаже";"Показывается";;"Показывается";;"2022-01-11 17:33:08";"Тушь для ресниц";"'0.10";"'0.0";"0";"0";"0";"0";"699.00";"750.00";"650.00";;;"0%"
"KR-00005890N2";"208490412";"464542562";"464542561";;"Белита Косметический набор для лица Пудра Энзимная для умывания 53г + ВВ-крем Selfie для лица 30мл WHITE DETOX";"Белита";"Не продается";"Скрыт";"Не подтверждены права на реализацию бренда";"Скрыт";"Не подтверждены права на реализацию бренда";"2022-01-11 17:46:50";"Набор косметики для ухода за лицом женский";"'0.60";"'0.1";"0";"0";"0";"0";"599.00";;;"454.00";"https://wildberries.ru/catalog/15933002/detail.aspx";"0%"
"PT-00005733";"208493223";"464547106";"464547107";;"Кафе Красоты, Бурлящий шар для ванн Тропические фрукты, 120 г";"Кафе Красоты";"Готов к продаже";"Показывается";;"Показывается";;"2022-01-11 18:01:55";"Соль для ванны";"'4.28";"'0.9";"0";"0";"0";"0";"231.00";;;;;"0%"
"KR-00003795";"208494600";"464549852";"464549851";;"Кафе Красоты, Бурлящий шар для ванн Пряничный домик,120 г";"Кафе Красоты";"Продается";"Показывается";;"Показывается";;"2022-01-11 18:14:39";"Соль для ванны";"'4.28";"'0.9";"0";"0";"7";"0";"231.00";;;;;"0%"
"PT-00008726";"208704348";"464816644";"464816643";;"Одеколон Dilis Ice action 100мл";"Dilis";"Продается";"Показывается";;"Показывается";;"2022-01-12 06:00:42";"Одеколон женский";"'0.68";"'0.3";"0";"0";"2";"0";"644.00";;;;;"0%"
"PL-00008820";"208733063";"464851624";"464851623";;"Trussardi Donna  Eau De Parfum  Женский 100мл";;"Продается";"Показывается";;"Показывается";;"2022-01-12 06:41:38";"Парфюмерная вода женская";"'0.60";"'0.5";"0";"0";"1";"0";"9900.00";;;;;"0%"
